161.675	-1.967	4.119	2.947	267.08
201.154	-1.064	4.095	3.467	266.33
39.453	-1.822	4.07	2.94	265.579
0	-2.58	4.046	2.467	264.829
0	-3.338	4.022	2.467	264.078
0	-4.096	3.997	3.595	263.328
0	-3.502	3.984	3.595	263.021
0	-2.909	3.97	3.595	262.714
176.978	-2.316	3.957	4.083	262.407
219.053	-1.722	3.944	4.595	262.1
45.146	-2.786	3.93	4.075	261.794
0	-3.85	3.917	3.595	261.487
0	-4.914	3.904	3.595	261.18
0	-5.979	3.89	2.654	260.873
0	-4.748	3.85	2.654	258.463
0	-3.517	3.809	2.654	256.054
156.193	-2.286	3.769	3.151	253.644
192.339	-1.056	3.728	3.654	251.234
41.529	-2.587	3.687	3.141	248.824
0	-4.119	3.647	2.654	246.415
0	-5.65	3.606	2.654	244.005
0	-7.181	3.565	3.051	241.595
0	-5.042	3.613	3.051	242.589
0.173	-2.902	3.662	3.051	243.582
206.349	-0.763	3.71	3.556	244.575
252.826	1.377	3.758	4.051	245.568
57.034	-0.603	3.806	3.546	246.562
0	-2.582	3.854	3.051	247.555
0	-4.561	3.902	3.051	248.548
0	-6.54	3.767	2.943	249.541
0	-4.149	4.072	2.943	250.65
1.655	-1.757	4.194	2.943	251.76
232.547	0.634	4.315	3.456	252.869
283.519	3.025	4.437	3.943	253.978
66.656	1.661	4.559	3.445	255.087
0	0.297	4.68	2.943	256.196
0	-1.067	4.802	2.943	257.305
0	-2.431	4.924	4.366	258.414
0	-0.893	4.952	4.366	257.412
3.501	0.646	4.979	4.366	256.41
230.877	2.184	5.007	4.888	255.408
280.116	3.723	5.035	5.366	254.406
68.479	2.162	5.063	4.875	253.403
0	0.601	5.091	4.366	252.401
0	-0.96	5.119	4.366	251.399
0	-2.521	5.1	3.172	250.397
0	-0.715	5.155	3.172	252.462
6.069	1.091	5.162	3.172	254.528
251.123	2.897	5.17	3.701	256.593
303.227	4.703	5.177	4.172	258.658
76.92	2.787	5.185	3.687	260.724
0	0.87	5.193	3.172	262.789
0	-1.046	5.2	3.172	264.855
0	-2.962	4.935	3.614	266.92
0	-1.336	5.16	3.614	266.142
6.513	0.29	5.111	3.614	265.363
192.628	1.917	5.063	4.151	264.584
231.505	3.543	5.015	4.614	263.806
60.821	2.114	4.967	4.135	263.027
0	0.686	4.919	3.614	262.248
0	-0.743	4.871	3.614	261.47
0	-2.172	4.822	3.681	260.691
0	-1.453	4.827	3.681	262.155
10.261	-0.734	4.832	3.681	263.619
233.722	-0.016	4.837	4.225	265.083
279.6	0.703	4.842	4.68	266.546
75.943	-0.124	4.847	4.208	268.01
0	-0.951	4.852	3.681	269.474
0	-1.778	4.858	3.681	270.938
